"countries","Population","GDP","Climate","Country","Happiness_Score","Rates","Life Expectancy","HDI Rank","HumanDevelopmentIndex"
"Romania ","22303552","7000","3","Romania","5.528","8","75.3","52","0.807"
"Rwanda ","8648248","1300","3","Rwanda","3.515","11","66.1","158","0.52"
"Senegal ","11987121","1600","2","Senegal","4.219","11.8","65.6","164","0.499"
"Singapore ","4492150","23700","2","Singapore","6.739","7.9","82.1","9","0.93"
"Spain ","40397842","22000","3","Spain","6.361","6.1","82.7","26","0.889"
"Sudan ","41236378","1900","2","Sudan","4.139","9.5","67.8","167","0.499"
"Suriname ","439117","4000","2","Suriname","6.269","23.2","72.2","100","0.719"
"Sweden ","9016596","26800","3","Sweden","7.291","11.7","82.1","7","0.932"
"Switzerland ","7523934","32700","3","Switzerland","7.509","11.3","83.1","2","0.943"
"Tajikistan ","7320815","1000","2","Tajikistan","4.996","3.3","72.9","127","0.647"
"Thailand ","64631595","7400","2","Thailand","6.474","12.9","74.8","83","0.748"
"Togo ","5548702","1500","2","Togo","3.303","16.6","61.9","165","0.5"
"Tunisia ","10175014","6900","3","Tunisia","5.045","3.2","77.6","95","0.732"
"Turkey ","70413958","6700","3","Turkey","5.389","7.2","79.3","64","0.787"
"Turkmenistan ","5042920","5800","1","Turkmenistan","5.658","7.2","70.4","108","0.705"
"Uganda ","28195754","1400","2","Uganda","3.739","20","61.91","162","0.508"
"Ukraine ","46710816","5400","3","Ukraine","4.324","18.5","71.7","88","0.746"
"Uruguay ","3431932","12800","3","Uruguay","6.545","16.5","77","55","0.802"
"Uzbekistan ","27307134","1700","1","Uzbekistan","5.987","7.4","72.1","105","0.703"
"Yemen ","21456188","800","1","Yemen","3.724","9.8","64.92","178","0.462"
"Zambia ","11502010","800","2","Zambia","4.795","11.3","57.1","144","0.586"
"Zimbabwe ","12236805","1900","2","Zimbabwe","4.193","19.1","61.69","156","0.532"
